# source target cpu_ms wall_ms
examples/big/fact-limbs.oro go 0 620
examples/big/fact-limbs.oro js 0 608
examples/big/fact-limbs.oro java 15 595
examples/big/fact-limbs.oro windows 93 692
examples/big/fact.oro go 0 617
examples/big/fact.oro js 0 608
examples/big/fact.oro java 15 592
examples/big/fact.oro windows 0 595
examples/big/fib.oro go 15 622
examples/big/fib.oro js 15 605
examples/big/fib.oro java 15 594
examples/big/fib.oro windows 0 594
examples/big/limbs.oro go 78 684
examples/big/limbs.oro js 46 645
examples/big/limbs.oro java 78 662
examples/big/limbs.oro windows 62 638
examples/big/pair.oro go 15 32
examples/big/pair.oro js 15 32
examples/big/pair.oro java 15 32
examples/big/pair.oro windows 0 35
examples/big/power.oro go 15 39
examples/big/power.oro js 31 36
examples/big/power.oro java 15 41
examples/big/power.oro windows 0 38
examples/big/render.oro go 93 117
examples/big/render.oro js 78 113
examples/big/render.oro java 93 123
examples/big/render.oro windows 312 404
examples/build-vec.oro go 31 54
examples/build-vec.oro js 15 59
examples/build-vec.oro java 46 51
examples/build-vec.oro windows 0 51
examples/centroid.oro go 31 43
examples/centroid.oro js 31 57
examples/centroid.oro java 31 52
examples/centroid.oro windows 46 56
examples/converge.oro go 15 57
examples/converge.oro js 15 52
examples/converge.oro java 31 49
examples/converge.oro windows 15 65
examples/dot.oro go 46 59
examples/dot.oro js 46 63
examples/dot.oro java 31 61
examples/dot.oro windows 31 54
examples/filter.oro go 15 64
examples/filter.oro js 46 55
examples/filter.oro java 46 58
examples/filter.oro windows 31 53
examples/generic.oro go 31 55
examples/generic.oro js 15 52
examples/generic.oro java 46 63
examples/generic.oro windows 46 57
examples/hello.oro go 15 59
examples/hello.oro js 31 54
examples/hello.oro java 46 64
examples/hello.oro windows 31 51
examples/int/collatz.oro go 15 39
examples/int/collatz.oro js 31 39
examples/int/collatz.oro java 0 34
examples/int/collatz.oro windows 15 37
examples/int/digit-sum.oro go 15 45
examples/int/digit-sum.oro js 15 38
examples/int/digit-sum.oro java 15 37
examples/int/digit-sum.oro windows 15 33
examples/int/fib.oro go 15 45
examples/int/fib.oro js 15 27
examples/int/fib.oro java 31 32
examples/int/fib.oro windows 31 31
examples/int/gcd.oro go 0 44
examples/int/gcd.oro js 15 33
examples/int/gcd.oro java 15 35
examples/int/gcd.oro windows 0 36
examples/int/power.oro go 0 38
examples/int/power.oro js 15 40
examples/int/power.oro java 31 37
examples/int/power.oro windows 15 47
examples/int/sum-range.oro go 0 47
examples/int/sum-range.oro js 31 36
examples/int/sum-range.oro java 15 34
examples/int/sum-range.oro windows 15 33
examples/io/freq.oro go 25203 15491
examples/io/freq.oro js 18187 12615
examples/io/freq.oro java 52875 29122
examples/io/freq.oro windows 0 36
examples/io/jsonfmt.oro go 515 579
examples/io/jsonfmt.oro js 546 634
examples/io/jsonfmt.oro java 562 722
examples/io/jsonfmt.oro windows 15 46
examples/io/wc.oro go 15 43
examples/io/wc.oro js 31 46
examples/io/wc.oro java 15 46
examples/io/wc.oro windows 15 33
examples/json/tokenize.oro go 2109 2552
examples/json/tokenize.oro js 0 35
examples/json/tokenize.oro java 15 33
examples/json/tokenize.oro windows 0 29
examples/json/tree.oro go 1937 2191
examples/json/tree.oro js 46 35
examples/json/tree.oro java 15 37
examples/json/tree.oro windows 0 39
examples/kara/core.oro go 93 141
examples/kara/core.oro js 31 34
examples/kara/core.oro java 0 33
examples/kara/core.oro windows 31 28
examples/kara/workspace.oro go 15 37
examples/kara/workspace.oro js 0 34
examples/kara/workspace.oro java 0 35
examples/kara/workspace.oro windows 15 34
examples/map/dynamic.oro go 31 37
examples/map/dynamic.oro js 31 34
examples/map/dynamic.oro java 15 28
examples/map/dynamic.oro windows 15 26
examples/match/runs.oro go 15 32
examples/match/runs.oro js 15 28
examples/match/runs.oro java 15 31
examples/match/runs.oro windows 0 34
examples/modules.oro go 31 59
examples/modules.oro js 31 51
examples/modules.oro java 31 49
examples/modules.oro windows 31 50
examples/native/centroid-go.oro go 31 43
examples/native/centroid-go.oro js 15 38
examples/native/centroid-go.oro java 31 34
examples/native/centroid-go.oro windows 31 34
examples/native/centroid-java.oro go 15 36
examples/native/centroid-java.oro js 31 34
examples/native/centroid-java.oro java 15 55
examples/native/centroid-java.oro windows 31 47
examples/native/centroid-js.oro go 15 49
examples/native/centroid-js.oro js 0 51
examples/native/centroid-js.oro java 0 35
examples/native/centroid-js.oro windows 15 45
examples/native/divmod-go.oro go 46 46
examples/native/divmod-go.oro js 15 44
examples/native/divmod-go.oro java 15 41
examples/native/divmod-go.oro windows 0 35
examples/native/divmod-java.oro go 31 35
examples/native/divmod-java.oro js 31 40
examples/native/divmod-java.oro java 31 40
examples/native/divmod-java.oro windows 31 31
examples/native/dot-go.oro go 31 38
examples/native/dot-go.oro js 15 35
examples/native/dot-go.oro java 15 32
examples/native/dot-go.oro windows 31 34
examples/native/dot-java.oro go 31 35
examples/native/dot-java.oro js 15 36
examples/native/dot-java.oro java 31 35
examples/native/dot-java.oro windows 31 33
examples/native/dot-js.oro go 15 36
examples/native/dot-js.oro js 0 31
examples/native/dot-js.oro java 31 36
examples/native/dot-js.oro windows 15 32
examples/native/generic-go.oro go 31 40
examples/native/generic-go.oro js 15 43
examples/native/generic-go.oro java 31 34
examples/native/generic-go.oro windows 31 33
examples/native/generic-java.oro go 31 36
examples/native/generic-java.oro js 31 33
examples/native/generic-java.oro java 31 35
examples/native/generic-java.oro windows 15 33
examples/native/generic-js.oro go 15 40
examples/native/generic-js.oro js 15 44
examples/native/generic-js.oro java 15 38
examples/native/generic-js.oro windows 15 30
examples/native/hello-win.oro go 31 34
examples/native/hello-win.oro js 31 29
examples/native/hello-win.oro java 31 40
examples/native/hello-win.oro windows 31 39
examples/native/report-go.oro go 15 39
examples/native/report-go.oro js 31 45
examples/native/report-go.oro java 15 46
examples/native/report-go.oro windows 15 48
examples/native/report-java.oro go 15 56
examples/native/report-java.oro js 15 59
examples/native/report-java.oro java 31 40
examples/native/report-java.oro windows 15 45
examples/native/report-js.oro go 31 45
examples/native/report-js.oro js 15 45
examples/native/report-js.oro java 15 41
examples/native/report-js.oro windows 15 39
examples/native/search-go.oro go 0 40
examples/native/search-go.oro js 15 46
examples/native/search-go.oro java 15 41
examples/native/search-go.oro windows 15 40
examples/native/search-java.oro go 15 42
examples/native/search-java.oro js 31 35
examples/native/search-java.oro java 31 42
examples/native/search-java.oro windows 31 38
examples/native/search-js.oro go 0 47
examples/native/search-js.oro js 15 43
examples/native/search-js.oro java 15 37
examples/native/search-js.oro windows 15 41
examples/native/shortcircuit-go.oro go 15 38
examples/native/shortcircuit-go.oro js 15 37
examples/native/shortcircuit-go.oro java 0 35
examples/native/shortcircuit-go.oro windows 15 36
examples/native/shortcircuit-win.oro go 31 36
examples/native/shortcircuit-win.oro js 15 32
examples/native/shortcircuit-win.oro java 15 29
examples/native/shortcircuit-win.oro windows 78 69
examples/native/sieve-go-threaded.oro go 46 54
examples/native/sieve-go-threaded.oro js 31 36
examples/native/sieve-go-threaded.oro java 31 32
examples/native/sieve-go-threaded.oro windows 15 35
examples/native/sieve-go.oro go 15 64
examples/native/sieve-go.oro js 15 36
examples/native/sieve-go.oro java 0 38
examples/native/sieve-go.oro windows 31 37
examples/native/sieve-java.oro go 31 42
examples/native/sieve-java.oro js 31 34
examples/native/sieve-java.oro java 15 54
examples/native/sieve-java.oro windows 31 37
examples/native/sieve-js.oro go 15 37
examples/native/sieve-js.oro js 15 51
examples/native/sieve-js.oro java 31 38
examples/native/sieve-js.oro windows 15 42
examples/native/sieve-win-bench.oro go 15 43
examples/native/sieve-win-bench.oro js 15 37
examples/native/sieve-win-bench.oro java 15 37
examples/native/sieve-win-bench.oro windows 687 884
examples/native/sieve-win.oro go 15 34
examples/native/sieve-win.oro js 15 31
examples/native/sieve-win.oro java 0 29
examples/native/sieve-win.oro windows 46 128
examples/native/smooth-go.oro go 0 98
examples/native/smooth-go.oro js 15 72
examples/native/smooth-go.oro java 15 77
examples/native/smooth-go.oro windows 15 87
examples/native/smooth-java.oro go 15 83
examples/native/smooth-java.oro js 31 74
examples/native/smooth-java.oro java 15 74
examples/native/smooth-java.oro windows 31 70
examples/native/smooth-js.oro go 15 50
examples/native/smooth-js.oro js 31 51
examples/native/smooth-js.oro java 15 45
examples/native/smooth-js.oro windows 0 39
examples/native/wordcount-go.oro go 31 56
examples/native/wordcount-go.oro js 31 37
examples/native/wordcount-go.oro java 15 57
examples/native/wordcount-go.oro windows 15 48
examples/native/wordcount-java.oro go 31 48
examples/native/wordcount-java.oro js 0 43
examples/native/wordcount-java.oro java 31 46
examples/native/wordcount-java.oro windows 31 41
examples/native/wordcount-js.oro go 31 48
examples/native/wordcount-js.oro js 31 48
examples/native/wordcount-js.oro java 15 44
examples/native/wordcount-js.oro windows 15 36
examples/norm.oro go 46 68
examples/norm.oro js 15 59
examples/norm.oro java 0 60
examples/norm.oro windows 15 62
examples/report.oro go 46 51
examples/report.oro js 15 56
examples/report.oro java 15 47
examples/report.oro windows 46 53
examples/search.oro go 31 55
examples/search.oro js 31 53
examples/search.oro java 0 51
examples/search.oro windows 31 49
examples/smooth.oro go 31 57
examples/smooth.oro js 15 57
examples/smooth.oro java 15 62
examples/smooth.oro windows 46 57
examples/stencil.oro go 46 61
examples/stencil.oro js 15 59
examples/stencil.oro java 0 50
examples/stencil.oro windows 46 54
examples/sum/parse.oro go 15 40
examples/sum/parse.oro js 31 34
examples/sum/parse.oro java 0 36
examples/sum/parse.oro windows 31 32
examples/table/alloc.oro go 15 30
examples/table/alloc.oro js 15 34
examples/table/alloc.oro java 0 31
examples/table/alloc.oro windows 15 26
examples/table/dot.oro go 15 48
examples/table/dot.oro js 0 36
examples/table/dot.oro java 15 43
examples/table/dot.oro windows 31 38
examples/table/sieve-win.oro go 31 40
examples/table/sieve-win.oro js 15 31
examples/table/sieve-win.oro java 46 39
examples/table/sieve-win.oro windows 78 158
examples/table/sieve.oro go 15 56
examples/table/sieve.oro js 15 37
examples/table/sieve.oro java 15 29
examples/table/sieve.oro windows 15 32
examples/tally/host-go.oro go 31 35
examples/tally/host-go.oro js 0 40
examples/tally/host-go.oro java 0 39
examples/tally/host-go.oro windows 0 34
examples/tally/host-java.oro go 15 42
examples/tally/host-java.oro js 15 37
examples/tally/host-java.oro java 0 37
examples/tally/host-java.oro windows 15 30
examples/tally/tally.oro go 31 43
examples/tally/tally.oro js 15 33
examples/tally/tally.oro java 15 30
examples/tally/tally.oro windows 31 39
examples/wordcount.oro go 31 59
examples/wordcount.oro js 31 64
examples/wordcount.oro java 15 49
examples/wordcount.oro windows 31 44
gauntlet/differential/cases/array-literal.oro go 15 45
gauntlet/differential/cases/array-literal.oro js 15 37
gauntlet/differential/cases/array-literal.oro java 15 37
gauntlet/differential/cases/array-literal.oro windows 31 38
gauntlet/differential/cases/big-divmod.oro go 15 47
gauntlet/differential/cases/big-divmod.oro js 0 44
gauntlet/differential/cases/big-divmod.oro java 46 57
gauntlet/differential/cases/big-divmod.oro windows 265 370
gauntlet/differential/cases/big-fib.oro go 15 50
gauntlet/differential/cases/big-fib.oro js 15 43
gauntlet/differential/cases/big-fib.oro java 15 44
gauntlet/differential/cases/big-fib.oro windows 15 37
gauntlet/differential/cases/big-limbs.oro go 31 44
gauntlet/differential/cases/big-limbs.oro js 15 44
gauntlet/differential/cases/big-limbs.oro java 15 37
gauntlet/differential/cases/big-limbs.oro windows 15 37
gauntlet/differential/cases/big-mul.oro go 0 48
gauntlet/differential/cases/big-mul.oro js 15 37
gauntlet/differential/cases/big-mul.oro java 15 36
gauntlet/differential/cases/big-mul.oro windows 31 34
gauntlet/differential/cases/big-select.oro go 15 64
gauntlet/differential/cases/big-select.oro js 31 53
gauntlet/differential/cases/big-select.oro java 31 45
gauntlet/differential/cases/big-select.oro windows 0 43
gauntlet/differential/cases/big-subdiv.oro go 15 38
gauntlet/differential/cases/big-subdiv.oro js 31 47
gauntlet/differential/cases/big-subdiv.oro java 31 43
gauntlet/differential/cases/big-subdiv.oro windows 15 47
gauntlet/differential/cases/buffer-swap.oro go 15 42
gauntlet/differential/cases/buffer-swap.oro js 15 38
gauntlet/differential/cases/buffer-swap.oro java 15 42
gauntlet/differential/cases/buffer-swap.oro windows 15 40
gauntlet/differential/cases/build-zero.oro go 0 40
gauntlet/differential/cases/build-zero.oro js 31 43
gauntlet/differential/cases/build-zero.oro java 0 34
gauntlet/differential/cases/build-zero.oro windows 15 41
gauntlet/differential/cases/json-tokenize.oro go 15 56
gauntlet/differential/cases/json-tokenize.oro js 46 74
gauntlet/differential/cases/json-tokenize.oro java 31 66
gauntlet/differential/cases/json-tokenize.oro windows 15 74
gauntlet/differential/cases/json-tree.oro go 46 123
gauntlet/differential/cases/json-tree.oro js 46 117
gauntlet/differential/cases/json-tree.oro java 31 92
gauntlet/differential/cases/json-tree.oro windows 0 109
gauntlet/differential/cases/len-bounded.oro go 31 66
gauntlet/differential/cases/len-bounded.oro js 15 44
gauntlet/differential/cases/len-bounded.oro java 31 42
gauntlet/differential/cases/len-bounded.oro windows 0 36
gauntlet/differential/cases/limb-subdiv.oro go 93 91
gauntlet/differential/cases/limb-subdiv.oro js 15 60
gauntlet/differential/cases/limb-subdiv.oro java 31 97
gauntlet/differential/cases/limb-subdiv.oro windows 15 68
gauntlet/differential/cases/loop-counter.oro go 15 40
gauntlet/differential/cases/loop-counter.oro js 31 38
gauntlet/differential/cases/loop-counter.oro java 0 38
gauntlet/differential/cases/loop-counter.oro windows 15 38
gauntlet/differential/cases/map-dynamic.oro go 15 37
gauntlet/differential/cases/map-dynamic.oro js 0 52
gauntlet/differential/cases/map-dynamic.oro java 15 38
gauntlet/differential/cases/map-dynamic.oro windows 15 50
gauntlet/differential/cases/map-keys.oro go 31 38
gauntlet/differential/cases/map-keys.oro js 31 35
gauntlet/differential/cases/map-keys.oro java 31 40
gauntlet/differential/cases/map-keys.oro windows 15 34
gauntlet/differential/cases/map-len.oro go 15 39
gauntlet/differential/cases/map-len.oro js 0 41
gauntlet/differential/cases/map-len.oro java 15 37
gauntlet/differential/cases/map-len.oro windows 15 48
gauntlet/differential/cases/map-static.oro go 15 52
gauntlet/differential/cases/map-static.oro js 31 56
gauntlet/differential/cases/map-static.oro java 31 52
gauntlet/differential/cases/map-static.oro windows 31 45
gauntlet/differential/cases/match.oro go 15 44
gauntlet/differential/cases/match.oro js 15 40
gauntlet/differential/cases/match.oro java 15 44
gauntlet/differential/cases/match.oro windows 15 34
gauntlet/differential/cases/merge-sort.oro go 46 43
gauntlet/differential/cases/merge-sort.oro js 31 34
gauntlet/differential/cases/merge-sort.oro java 31 38
gauntlet/differential/cases/merge-sort.oro windows 31 36
gauntlet/differential/cases/negative-zero.oro go 31 46
gauntlet/differential/cases/negative-zero.oro js 15 56
gauntlet/differential/cases/negative-zero.oro java 0 46
gauntlet/differential/cases/negative-zero.oro windows 0 50
gauntlet/differential/cases/product.oro go 31 62
gauntlet/differential/cases/product.oro js 15 62
gauntlet/differential/cases/product.oro java 15 37
gauntlet/differential/cases/product.oro windows 31 52
gauntlet/differential/cases/render.oro go 46 166
gauntlet/differential/cases/render.oro js 78 139
gauntlet/differential/cases/render.oro java 125 157
gauntlet/differential/cases/render.oro windows 1625 1255
gauntlet/differential/cases/shift-div.oro go 0 51
gauntlet/differential/cases/shift-div.oro js 31 46
gauntlet/differential/cases/shift-div.oro java 31 51
gauntlet/differential/cases/shift-div.oro windows 15 47
gauntlet/differential/cases/string-escapes.oro go 0 40
gauntlet/differential/cases/string-escapes.oro js 31 40
gauntlet/differential/cases/string-escapes.oro java 31 39
gauntlet/differential/cases/string-escapes.oro windows 31 33
gauntlet/differential/cases/sum-case.oro go 0 39
gauntlet/differential/cases/sum-case.oro js 15 42
gauntlet/differential/cases/sum-case.oro java 15 32
gauntlet/differential/cases/sum-case.oro windows 15 36
gauntlet/differential/cases/table-alloc.oro go 31 41
gauntlet/differential/cases/table-alloc.oro js 0 41
gauntlet/differential/cases/table-alloc.oro java 31 40
gauntlet/differential/cases/table-alloc.oro windows 31 37
gauntlet/differential/cases/table-bool.oro go 15 48
gauntlet/differential/cases/table-bool.oro js 31 44
gauntlet/differential/cases/table-bool.oro java 15 36
gauntlet/differential/cases/table-bool.oro windows 15 40
gauntlet/differential/cases/utf8-widths.oro go 15 44
gauntlet/differential/cases/utf8-widths.oro js 15 47
gauntlet/differential/cases/utf8-widths.oro java 31 53
gauntlet/differential/cases/utf8-widths.oro windows 15 62
gauntlet/differential/cases/values-product.oro go 46 59
gauntlet/differential/cases/values-product.oro js 31 45
gauntlet/differential/cases/values-product.oro java 15 42
gauntlet/differential/cases/values-product.oro windows 15 41
lib/io/go.oro go 15 33
lib/io/go.oro js 0 32
lib/io/go.oro java 0 29
lib/io/go.oro windows 15 29
lib/io/java.oro go 0 20
lib/io/java.oro js 15 26
lib/io/java.oro java 15 22
lib/io/java.oro windows 31 33
lib/io/js.oro go 0 28
lib/io/js.oro js 0 29
lib/io/js.oro java 15 29
lib/io/js.oro windows 15 36
lib/num/vec.oro go 31 35
lib/num/vec.oro js 15 39
lib/num/vec.oro java 15 34
lib/num/vec.oro windows 15 32
lib/os/go.oro go 0 25
lib/os/go.oro js 0 23
lib/os/go.oro java 15 36
lib/os/go.oro windows 31 29
lib/os/java.oro go 15 25
lib/os/java.oro js 0 33
lib/os/java.oro java 0 29
lib/os/java.oro windows 31 33
lib/os/js.oro go 15 32
lib/os/js.oro js 15 26
lib/os/js.oro java 15 33
lib/os/js.oro windows 0 35
lib/win/fmt.oro go 0 31
lib/win/fmt.oro js 31 31
lib/win/fmt.oro java 15 29
lib/win/fmt.oro windows 0 26
