# source target cpu_ms wall_ms
examples/big/fact-limbs.oro go 15 613
examples/big/fact-limbs.oro js 0 565
examples/big/fact-limbs.oro java 0 577
examples/big/fact-limbs.oro windows 93 717
examples/big/fact.oro go 31 609
examples/big/fact.oro js 31 561
examples/big/fact.oro java 0 576
examples/big/fact.oro windows 0 580
examples/big/fib.oro go 0 609
examples/big/fib.oro js 15 565
examples/big/fib.oro java 0 577
examples/big/fib.oro windows 15 578
examples/big/limbs.oro go 93 687
examples/big/limbs.oro js 78 618
examples/big/limbs.oro java 78 663
examples/big/limbs.oro windows 78 643
examples/big/pair.oro go 15 41
examples/big/pair.oro js 0 38
examples/big/pair.oro java 15 30
examples/big/pair.oro windows 31 33
examples/big/power.oro go 15 38
examples/big/power.oro js 31 31
examples/big/power.oro java 31 33
examples/big/power.oro windows 0 32
examples/big/render.oro go 46 109
examples/big/render.oro js 93 107
examples/big/render.oro java 125 127
examples/big/render.oro windows 328 471
examples/build-vec.oro go 46 53
examples/build-vec.oro js 15 51
examples/build-vec.oro java 15 59
examples/build-vec.oro windows 31 63
examples/centroid.oro go 46 61
examples/centroid.oro js 0 57
examples/centroid.oro java 15 52
examples/centroid.oro windows 15 47
examples/converge.oro go 31 58
examples/converge.oro js 31 52
examples/converge.oro java 31 45
examples/converge.oro windows 15 40
examples/dot.oro go 0 62
examples/dot.oro js 46 65
examples/dot.oro java 15 67
examples/dot.oro windows 15 48
examples/filter.oro go 31 62
examples/filter.oro js 15 52
examples/filter.oro java 0 50
examples/filter.oro windows 15 44
examples/generic.oro go 15 44
examples/generic.oro js 31 52
examples/generic.oro java 15 63
examples/generic.oro windows 31 70
examples/hello.oro go 15 62
examples/hello.oro js 31 68
examples/hello.oro java 46 61
examples/hello.oro windows 31 53
examples/int/collatz.oro go 31 36
examples/int/collatz.oro js 15 32
examples/int/collatz.oro java 31 36
examples/int/collatz.oro windows 31 37
examples/int/digit-sum.oro go 15 40
examples/int/digit-sum.oro js 31 30
examples/int/digit-sum.oro java 15 28
examples/int/digit-sum.oro windows 15 25
examples/int/fib.oro go 15 37
examples/int/fib.oro js 31 31
examples/int/fib.oro java 15 27
examples/int/fib.oro windows 15 37
examples/int/gcd.oro go 0 36
examples/int/gcd.oro js 15 29
examples/int/gcd.oro java 15 35
examples/int/gcd.oro windows 0 36
examples/int/power.oro go 15 38
examples/int/power.oro js 0 27
examples/int/power.oro java 31 35
examples/int/power.oro windows 31 33
examples/int/sum-range.oro go 0 39
examples/int/sum-range.oro js 15 39
examples/int/sum-range.oro java 15 30
examples/int/sum-range.oro windows 31 38
examples/io/freq.oro go 19375 11411
examples/io/freq.oro js 13828 8677
examples/io/freq.oro java 47234 24052
examples/io/freq.oro windows 0 38
examples/io/jsonfmt.oro go 375 497
examples/io/jsonfmt.oro js 468 595
examples/io/jsonfmt.oro java 625 638
examples/io/jsonfmt.oro windows 0 33
examples/io/wc.oro go 31 33
examples/io/wc.oro js 31 42
examples/io/wc.oro java 15 35
examples/io/wc.oro windows 15 29
examples/json/tokenize.oro go 1781 1980
examples/json/tokenize.oro js 31 33
examples/json/tokenize.oro java 15 33
examples/json/tokenize.oro windows 0 29
examples/json/tree.oro go 2125 2242
examples/json/tree.oro js 15 35
examples/json/tree.oro java 31 33
examples/json/tree.oro windows 15 33
examples/kara/core.oro go 234 175
examples/kara/core.oro js 15 30
examples/kara/core.oro java 0 30
examples/kara/core.oro windows 15 33
examples/kara/workspace.oro go 15 30
examples/kara/workspace.oro js 15 28
examples/kara/workspace.oro java 15 39
examples/kara/workspace.oro windows 15 34
examples/map/dynamic.oro go 15 39
examples/map/dynamic.oro js 31 34
examples/map/dynamic.oro java 15 31
examples/map/dynamic.oro windows 15 32
examples/match/runs.oro go 15 44
examples/match/runs.oro js 31 43
examples/match/runs.oro java 0 33
examples/match/runs.oro windows 15 28
examples/modules.oro go 31 43
examples/modules.oro js 31 45
examples/modules.oro java 15 38
examples/modules.oro windows 0 43
examples/native/centroid-go.oro go 31 37
examples/native/centroid-go.oro js 31 32
examples/native/centroid-go.oro java 31 79
examples/native/centroid-go.oro windows 31 63
examples/native/centroid-java.oro go 15 65
examples/native/centroid-java.oro js 15 68
examples/native/centroid-java.oro java 31 58
examples/native/centroid-java.oro windows 15 57
examples/native/centroid-js.oro go 31 49
examples/native/centroid-js.oro js 15 34
examples/native/centroid-js.oro java 15 34
examples/native/centroid-js.oro windows 31 33
examples/native/divmod-go.oro go 15 35
examples/native/divmod-go.oro js 15 37
examples/native/divmod-go.oro java 15 43
examples/native/divmod-go.oro windows 31 42
examples/native/divmod-java.oro go 31 40
examples/native/divmod-java.oro js 31 35
examples/native/divmod-java.oro java 31 40
examples/native/divmod-java.oro windows 15 40
examples/native/dot-go.oro go 15 37
examples/native/dot-go.oro js 15 39
examples/native/dot-go.oro java 15 36
examples/native/dot-go.oro windows 31 45
examples/native/dot-java.oro go 0 41
examples/native/dot-java.oro js 0 36
examples/native/dot-java.oro java 31 41
examples/native/dot-java.oro windows 0 32
examples/native/dot-js.oro go 15 47
examples/native/dot-js.oro js 31 50
examples/native/dot-js.oro java 0 43
examples/native/dot-js.oro windows 15 36
examples/native/generic-go.oro go 31 42
examples/native/generic-go.oro js 15 36
examples/native/generic-go.oro java 31 36
examples/native/generic-go.oro windows 15 28
